OBJECTID,DATE,Count_
612,2021/11/19 10:00:00+00,6
613,2021/11/20 10:00:00+00,5
614,2021/11/21 10:00:00+00,9
615,2021/11/22 10:00:00+00,10
616,2021/11/23 10:00:00+00,9
617,2021/11/24 10:00:00+00,9
618,2021/11/25 10:00:00+00,11
619,2021/11/26 10:00:00+00,7
620,2021/11/27 10:00:00+00,12
621,2021/11/28 10:00:00+00,12
622,2021/11/29 10:00:00+00,7
623,2021/11/30 10:00:00+00,12
624,2021/12/01 10:00:00+00,7
625,2021/12/02 10:00:00+00,8
626,2021/12/03 10:00:00+00,13
627,2021/12/04 10:00:00+00,17
628,2021/12/05 10:00:00+00,12
629,2021/12/06 10:00:00+00,13
630,2021/12/07 10:00:00+00,10
631,2021/12/08 10:00:00+00,19
632,2021/12/09 10:00:00+00,29
633,2021/12/10 10:00:00+00,14
634,2021/12/11 10:00:00+00,10
635,2021/12/12 10:00:00+00,12
636,2021/12/13 10:00:00+00,31
637,2021/12/14 10:00:00+00,27
638,2021/12/15 10:00:00+00,17
639,2021/12/16 10:00:00+00,17
640,2021/12/17 10:00:00+00,30
641,2021/12/18 10:00:00+00,24
642,2021/12/19 10:00:00+00,21
643,2021/12/20 10:00:00+00,23
644,2021/12/21 10:00:00+00,25
645,2021/12/22 10:00:00+00,30
646,2021/12/23 10:00:00+00,29
647,2021/12/24 10:00:00+00,25
648,2021/12/25 10:00:00+00,31
649,2021/12/26 10:00:00+00,27
650,2021/12/27 10:00:00+00,31
651,2021/12/28 10:00:00+00,39
652,2021/12/29 10:00:00+00,33
653,2021/12/30 10:00:00+00,36
654,2021/12/31 10:00:00+00,37
655,2022/01/01 10:00:00+00,49
656,2022/01/02 10:00:00+00,28
657,2022/01/03 10:00:00+00,45
658,2022/01/04 10:00:00+00,54
659,2022/01/05 10:00:00+00,56
660,2022/01/06 10:00:00+00,60
661,2022/01/07 10:00:00+00,59
662,2022/01/08 10:00:00+00,56
663,2022/01/09 10:00:00+00,67
664,2022/01/10 10:00:00+00,47
665,2022/01/11 10:00:00+00,71
666,2022/01/12 10:00:00+00,64
667,2022/01/13 10:00:00+00,64
668,2022/01/14 10:00:00+00,66
669,2022/01/15 10:00:00+00,69
670,2022/01/16 10:00:00+00,64
671,2022/01/17 10:00:00+00,60
